ticker,name,CIK
AFL,Aflac,4977
ALL,Allstate,899051
AXP,American Express,4962
AIG,American International Group,5272
AMP,Ameriprise Financial,820027
AON,Aon,315293
ACGL,Arch Capital Group,947484
AJG,Arthur J. Gallagher & Co.,354190
AIZ,Assurant,1267238
BAC,Bank of America,70858
BK,Bank of New York Mellon,1390777
BRK-B,Berkshire Hathaway,1067983
BLK,BlackRock,1364742
BX,Blackstone,1393818
BRO,Brown & Brown,79282
COF,Capital One,927628
CBOE,Cboe Global Markets,1374310
SCHW,Charles Schwab Corporation,316709
CB,Chubb Limited,896159
CINF,Cincinnati Financial,20286
C,Citigroup,831001
CFG,Citizens Financial Group,759944
CME,CME Group,1156375
CMA,Comerica,28412
DFS,Discover Financial,1393612
EG,Everest Re,1095073
FDS,FactSet,1013237
FIS,Fidelity National Information Services,1136893
FITB,Fifth Third Bank,35527
FI,Fiserv,798354
FLT,Fleetcor,1175454
BEN,Franklin Templeton,38777
GPN,Global Payments,1123360
GL,Globe Life,320335
GS,Goldman Sachs,886982
HIG,Hartford (The),874766
HBAN,Huntington Bancshares,49196
ICE,Intercontinental Exchange,1571949
IVZ,Invesco,914208
JKHY,Jack Henry & Associates,779152
JPM,JPMorgan Chase,19617
KEY,KeyCorp,91576
L,Loews Corporation,60086
MTB,M&T Bank,36270
MKTX,MarketAxess,1278021
MMC,Marsh McLennan,62709
MA,Mastercard,1141391
MET,MetLife,1099219
MCO,Moody's Corporation,1059556
MS,Morgan Stanley,895421
MSCI,MSCI,1408198
NDAQ,"Nasdaq, Inc.",1120193
NTRS,Northern Trust,73124
PYPL,PayPal,1633917
PNC,PNC Financial Services,713676
PFG,Principal Financial Group,1126328
PGR,Progressive Corporation,80661
PRU,Prudential Financial,1137774
RJF,Raymond James,720005
RF,Regions Financial Corporation,1281761
SPGI,S&P Global,64040
STT,State Street Corporation,93751
SYF,Synchrony Financial,1601712
TROW,T. Rowe Price,1113169
TRV,Travelers Companies (The),86312
TFC,Truist,92230
USB,U.S. Bank,36104
V,Visa Inc.,1403161
WRB,Berkley,11544
WFC,Wells Fargo,72971
WTW,Willis Towers Watson,1140536
ZION,Zions Bancorporation,109380
